SL.,Facility Level,Facility Code,Facility Name,Facility Type,Division Name,District Name,Facility_short_name
1471,UHC,10000780,Bibirhat 20 bed Hospital,20-bed Hospital,Chattogram,Chattogram,
1484,UHC,10000843,Sonaimuri 20 bed Hospital,20-bed Hospital,Chattogram,Cumilla,
1490,UHC,10000858,Mohichail 20 bed Hospital,20-bed Hospital,Chattogram,Cumilla,
1497,UHC,10000877,"Donarchar(New Created) 20 Beded Hospital, Cumilla",20-bed Hospital,Chattogram,Cumilla,
1500,UHC,10000891,Bagmara 20 bed Hospital,20-bed Hospital,Chattogram,Cumilla,
1505,UHC,10000909,Jodda 20 bed Hospital,20-bed Hospital,Chattogram,Cumilla,
1511,UHC,10000927,"Pakua 20 Beded Hospital, Coxs Bazar",20-bed Hospital,Chattogram,Coxs Bazar,
1514,UHC,10000933,St. Martin 20 bed Hospital,20-bed Hospital,Chattogram,Coxs Bazar,
1536,UHC,10001018,Char Alexander 20 bed Hospital,20-bed Hospital,Chattogram,Lakshmipur,
1544,UHC,10001045,Char Algi 20 bed Hospital,20-bed Hospital,Chattogram,Noakhali,
1562,UHC,10001096,Santahar 20 bed Hospital,20-bed Hospital,Rajshahi,Bogura,
1570,UHC,10001134,Nandigram 20 bed Hospital,20-bed Hospital,Rajshahi,Bogura,
1575,UHC,10001155,"Aliahat 20 Bed Hospital, Bogura",20-bed Hospital,Rajshahi,Bogura,
1617,UHC,10001351,Dahagram 20 bed Hospital,20-bed Hospital,Rangpur,Lalmonirhat,
1747,UHC,10001873,Birolpolita 20 bed Hospital,20-bed Hospital,Khulna,Magura,
1749,UHC,10001881,Binadpur 20 bed Hospital,20-bed Hospital,Khulna,Magura,
1764,UHC,10001935,Taltali 20 bed Hospital,20-bed Hospital,Barishal,Barguna,
1770,UHC,10001956,Walankathi 20 bed Hospital,20-bed Hospital,Barishal,Barishal,
1787,UHC,10002007,South Char Aicha 20 bed Hospital,20-bed Hospital,Barishal,Bhola,
1802,UHC,10002043,Kuakata 20 bed Hospital,20-bed Hospital,Barishal,Patuakhali,
1803,UHC,10002047,Kathaltoli 20 bed Hospital,20-bed Hospital,Barishal,Patuakhali,
1830,UHC,10002131,Kaitak 20 bed Hospital,20-bed Hospital,Sylhet,Sunamganj,
1834,UHC,10002139,Maddyanagar 20 bed Hospital,20-bed Hospital,Sylhet,Sunamganj,
1881,UHC,10013097,Charanchal 20 bed Hospital,20-bed Hospital,Mymensingh,Mymensingh,
1888,UHC,10013112,Hajratpur 20 bed Hospital,20-bed Hospital,Dhaka,Dhaka,
1889,UHC,10013113,Kunda 20 bed Hospital,20-bed Hospital,Dhaka,Dhaka,
1893,UHC,10017198,Haramia 20 bed Hospital,20-bed Hospital,Chattogram,Chattogram,
1894,UHC,10017199,Kreshnanagar 20 bed Hospital,20-bed Hospital,Dhaka,Dhaka,
1895,UHC,10017200,Aminbazar 20 bed Hospital,20-bed Hospital,Dhaka,Dhaka,
1907,UHC,10023003,Donarchar 20 bed Hospital,20-bed Hospital,Chattogram,Cumilla,
1916,UHC,10024550,Kabirajpur 20 bed Hospital,20-bed Hospital,Dhaka,Madaripur,
1917,UHC,10024551,Tarabunia 20 bed Hospital,20-bed Hospital,Dhaka,Shariatpur,
1930,UHC,10025248,Baspur 20 bed Hospital,20-bed Hospital,Dhaka,Gopalganj,
1992,UHC,BGD25334,"20 Bed Hospital, Mohichail, Chandina, Cumilla",20-bed Hospital,Chattogram,Cumilla,
1903,UHC,10019223,Jhenaidah 25 Bed Shishu Hospital,25-bed Hospital,Khulna,Jhenaidah,
1391,UHC,10000425,Narayanganj 300 Bed Hospital,300-500 bed Hospital (not district hospital),Dhaka,Narayanganj,
1899,UHC,10017209,Kurmitola 500 Bed General Hospital,300-500 bed Hospital (not district hospital),Dhaka,Dhaka,
1693,UHC,10001666,Ullapara Sadar 30 bed Hospital,30-bed Hospital,Rajshahi,Sirajganj,
1789,UHC,10002009,Khairhat 30 bed Hospital,30-bed Hospital,Barishal,Bhola,
1876,UHC,10002298,Bangladesh Korea Moitree Hospital,30-bed Hospital,Dhaka,Dhaka,
1304,UHC,10000057,"Tejgaon Health Complex, Dhaka",31-bed Hospital,Dhaka,Dhaka,
1464,UHC,10000749,"Dohazari 31 Bed Hospital, Chandanaish, Chattogram",31-bed Hospital,Chattogram,Chattogram,
1660,UHC,10001538,Godagari 31 Bed Hospital,31-bed Hospital,Rajshahi,Rajshahi,
1677,UHC,10001615,"Haragacha 31 Bed Hospital, Kaunia, Rangpur",31-bed Hospital,Rangpur,Rangpur,
1896,UHC,10017201,"Sultanpur 31 Bed Hospital, Raozan",31-bed Hospital,Chattogram,Chattogram,
1915,UHC,10024298,"Kamrangirchar 31 Bed Hospital, Dhaka",31-bed Hospital,Dhaka,Dhaka,
1920,UHC,10024627,"Bagbati 31 bed Hospital, Sirajganj",31-bed Hospital,Rajshahi,Sirajganj,
1924,UHC,10025015,"Khadimpara 31 bed Hospital, Sylhet",31-bed Hospital,Sylhet,Sylhet,
1826,UHC,10002124,Sreemangal 50 Bed Hospital Building Was Handed Over To Ministry Of Education And A Resd. Gov. School,50-bed Hospital,Sylhet,Maulvibazar,
1902,UHC,10019216,Shyampur 50 Bed Hospital,50-bed Hospital,Dhaka,Dhaka,
1906,UHC,10021553,"Maligaon 50 bed Hospital,Daudkandi, Cumilla",50-bed Hospital,Chattogram,Cumilla,
1195,DGHS Sub-depot,DGHSCC001,"DGHS Integrated Control Room, Dhaka",Central Facility,Dhaka,Dhaka,
1319,UHC,10000110,Faridpur Chest Disease Clinic,Chest Disease Clinic,Dhaka,Faridpur,
1329,UHC,10000161,Gopalganj Chest Disease Clinic,Chest Disease Clinic,Dhaka,Gopalganj,
1338,UHC,10000210,Jamalpur Chest Disease Clinic,Chest Disease Clinic,Mymensingh,Jamalpur,
1349,UHC,10000245,Kishoreganj Chest Disease Clinic,Chest Disease Clinic,Dhaka,Kishoreganj,
1356,UHC,10000264,Madaripur Chest Disease Clinic,Chest Disease Clinic,Dhaka,Madaripur,
1367,UHC,10000329,Munshiganj Chest Disease Clinic,Chest Disease Clinic,Dhaka,Munshiganj,
1383,UHC,10000399,Mymensingh Chest Disease Clinic,Chest Disease Clinic,Mymensingh,Mymensingh,
1435,UHC,10000651,Tangail Chest Disease Clinic,Chest Disease Clinic,Dhaka,Tangail,
1445,UHC,10000674,Brahmanbaria Chest Disease Clinic,Chest Disease Clinic,Chattogram,Brahmanbaria,
1452,UHC,10000702,Chandpur Chest Disease Clinic,Chest Disease Clinic,Chattogram,Chandpur,
1468,UHC,10000760,Chattogram Chest Disease Clinic,Chest Disease Clinic,Chattogram,Chattogram,
1494,UHC,10000869,Cumilla Chest Disease Clinic,Chest Disease Clinic,Chattogram,Cumilla,
1508,UHC,10000923,Cox's Bazar Chest Disease Clinic,Chest Disease Clinic,Chattogram,Coxs Bazar,
1519,UHC,10000955,Feni Chest Disease Clinic,Chest Disease Clinic,Chattogram,Feni,
1546,UHC,10001053,Noakhali Chest Disease Clinic,Chest Disease Clinic,Chattogram,Noakhali,
1560,UHC,10001090,Rangamati Chest Disease Clinic,Chest Disease Clinic,Chattogram,Rangamati,
1563,UHC,10001107,Bogura Chest Disease Clinic,Chest Disease Clinic,Rajshahi,Bogura,
1581,UHC,10001187,Chapai Nawabganj Chest Disease Clinic,Chest Disease Clinic,Rajshahi,Chapai Nawabganj,
1587,UHC,10001217,Dinajpur Chest Disease Clinic,Chest Disease Clinic,Rangpur,Dinajpur,
1595,UHC,10001255,Gaibandha Chest Disease Clinic,Chest Disease Clinic,Rangpur,Gaibandha,
1608,UHC,10001318,Kurigram Chest Disease Clinic,Chest Disease Clinic,Rangpur,Kurigram,
1633,UHC,10001434,Natore Chest Disease Clinic,Chest Disease Clinic,Rajshahi,Natore,
1649,UHC,10001488,Pabna Chest Disease Clinic,Chest Disease Clinic,Rajshahi,Pabna,
1668,UHC,10001563,Rajshahi Chest Disease Clinic,Chest Disease Clinic,Rajshahi,Rajshahi,
1679,UHC,10001620,Rangpur Chest Disease Clinic,Chest Disease Clinic,Rangpur,Rangpur,
1689,UHC,10001650,Sirajganj Chest Disease Clinic,Chest Disease Clinic,Rajshahi,Sirajganj,
1698,UHC,10001688,Thakurgaon Chest Disease Clinic,Chest Disease Clinic,Rangpur,Thakurgaon,
1700,UHC,10001695,Bagerhat Chest Disease Clinic,Chest Disease Clinic,Khulna,Bagerhat,
1709,UHC,10001724,Chuadanga Chest Disease Clinic,Chest Disease Clinic,Khulna,Chuadanga,
1715,UHC,10001754,Jashore Chest Disease Clinic,Chest Disease Clinic,Khulna,Jashore,
1734,UHC,10001812,Khulna Chest Disease Clinic,Chest Disease Clinic,Khulna,Khulna,
1745,UHC,10001867,Kushtia Chest Disease Clinic,Chest Disease Clinic,Khulna,Kushtia,
1748,UHC,10001877,Magura Chest Disease Clinic,Chest Disease Clinic,Khulna,Magura,
